Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Bath twice daily,Use dettol or antiseptic soap,Keep infected area dry and clean,Do not share personal items like towels
Allergy,Avoid known allergy triggers,Use air filters or purifiers,Wear a mask outdoors during pollen season,Keep windows closed during high pollen times
GERD,Avoid lying down immediately after meals,Eat smaller and more frequent meals,"Avoid spicy, fatty, and acidic foods",Elevate head of bed while sleeping
Chronic cholestasis,Consult a gastroenterologist/hepatologist,Avoid alcohol completely,Limit high-fat dietary intake,Get periodic liver function tests
Drug Reaction,Discontinue suspected offending medication immediately,Consult prescribing physician,Maintain list of known drug allergies,Stay hydrated
Peptic ulcer disease,Avoid NSAID painkillers without prescription,"Limit spicy, acidic foods and alcohol",Do not smoke,Eat meals on a regular schedule
AIDS,Strict adherence to Antiretroviral Therapy (ART),Practice safe barrier protection,Screen for opportunistic infections,Avoid unpasteurized food
Diabetes ,Monitor blood glucose levels regularly,Maintain a balanced low-glycemic diet,Take prescribed hypoglycemic medications or insulin,Inspect feet daily for sores or cuts
Gastroenteritis,Drink oral rehydration solutions (ORS),Wash hands frequently with soap,Eat small bland meals,Seek urgent care if blood in stool or high fever
Bronchial Asthma,Always carry rescue inhaler (Albuterol),"Avoid dust, cold air, smoke, and pet dander",Take maintenance controller inhalers daily,Use a peak flow meter to track lung function
Hypertension ,Measure blood pressure regularly,"Reduce dietary sodium (< 2,300 mg/day)",Manage stress and get 7-8 hours sleep,Limit alcohol and quit smoking
Migraine,"Rest in a quiet, dark room during attacks",Identify and avoid personal dietary triggers,Maintain consistent sleep and meal schedules,Stay well-hydrated throughout the day
Cervical spondylosis,Maintain ergonomic posture while working,Use an orthopedic cervical support pillow,Perform prescribed neck isometric exercises,Avoid lifting heavy weights on head or shoulders
Paralysis (brain hemorrhage),URGENT: Call emergency medical services (911/112) immediately,Keep patient lying flat on side to prevent aspiration,"Do not give food, water, or aspirin",Monitor breathing and level of consciousness
Jaundice,Get comprehensive liver function and viral hepatitis panels,Drink boiled and filtered water,"Avoid oily, fried, and processed foods",Get complete physical rest
Malaria,Use insecticide-treated mosquito bed nets,Apply mosquito repellents (DEET),Complete full course of antimalarial medications,Eliminate stagnant water around home
Chicken pox,Isolate from non-immune individuals until all blisters crust,Avoid scratching blisters to prevent bacterial infection and scarring,Trim fingernails short,Take cool colloidal oatmeal baths
Dengue,Monitor platelet count and hematocrit closely,Avoid NSAIDs/Aspirin due to bleeding risk,Drink plentiful fluids with electrolytes,Seek immediate ER care if persistent vomiting or bleeding occurs
Typhoid,Drink only boiled or bottled water,Wash hands thoroughly before eating,Complete full antibiotic course prescribed by physician,Eat only freshly prepared and hot cooked food
hepatitis A,Practice strict hand hygiene,Avoid alcohol and hepatotoxic medications,Vaccinate close family contacts,Consume boiled water and peel all fruits
Hepatitis B,Consult a hepatologist for viral load and liver staging,"Never share razors, needles, or toothbrushes",Vaccinate sexual partners and household members,Completely abstain from alcohol
Hepatitis C,Complete full course of direct-acting antiviral (DAA) therapy,Regular screening for liver fibrosis and hepatoma,Avoid alcohol completely,Avoid sharing personal hygiene items
Hepatitis D,Specialist hepatology co-management,Prevention of Hepatitis B transmission,Periodic liver elastography/ultrasound,Avoid alcohol and hepatotoxic drugs
Hepatitis E,Ensure strict water sanitation and boiling,Avoid undercooked pork or game meats,Immediate hospitalization if pregnant or developing encephalopathy,Adequate rest
Alcoholic hepatitis,Permanent and complete cessation of alcohol,Seek professional addiction counseling support,"Monitor for ascites, encephalopathy, and GI bleeding",Regular liver function monitoring
Tuberculosis,Adhere strictly to 6-month Directly Observed Treatment (DOTS),Wear a respirator mask when around others during contagious phase,Ensure good room ventilation and sunlight,Never skip doses to avoid drug resistance
Common Cold,Get plenty of rest and sleep,Stay well hydrated with warm liquids,Wash hands regularly to avoid spreading,Use steam inhalation for nasal congestion
Pneumonia,Complete the entire prescribed antibiotic/antiviral course,Use a pulse oximeter to track oxygen saturation (>94%),Perform incentive spirometry lung expansion,Seek urgent care if experiencing severe shortness of breath or blue lips
Dimorphic hemmorhoids(piles),Avoid straining during bowel movements,Take warm sitz baths for 15 minutes twice daily,Do not delay urge to defecate,Avoid prolonged sitting on toilet
Heart attack,CALL 911 / 112 IMMEDIATELY,Chew an adult aspirin (325 mg) if not allergic,Rest in a comfortable semi-seated position,Do not drive yourself to the hospital
Varicose veins,Wear graduated compression stockings daily,Elevate legs above heart level when resting,Avoid standing or sitting in one position for long periods,Maintain a healthy body weight
Hypothyroidism,Take thyroid hormone replacement on an empty stomach in morning,Have periodic TSH and Free T4 blood tests every 6-12 months,Maintain consistent iodine intake,Stay active to boost metabolism
Hyperthyroidism,Take antithyroid medications consistently as prescribed,Monitor resting heart rate and blood pressure,Avoid excess dietary iodine and kelp supplements,Protect eyes with sunglasses if experiencing proptosis
Hypoglycemia,"Follow the 15-15 Rule: consume 15g fast carbs, wait 15 mins, re-test",Always carry glucose tablets or candy,Never skip or delay meals after taking insulin/secretagogues,Wear a medical alert bracelet
Osteoarthritis,Maintain a healthy weight to reduce joint load,Apply hot or cold compresses for stiffness/inflammation,Use supportive cushioned footwear or braces,Stay physically active with low-impact routines
Arthritis,Consult a rheumatologist early for disease-modifying therapy,Protect joints from repetitive high-impact stress,Use assistive devices when needed,Get adequate restorative sleep
(vertigo) Paroymsal  Positional Vertigo,Perform canalith repositioning maneuvers (Epley maneuver) with a specialist,Avoid sudden head movements or turning rapidly in bed,Sleep with head slightly elevated on two pillows,Sit down immediately when dizzy to prevent falls
Acne,"Wash face twice daily with a gentle, non-comedogenic cleanser","Do not squeeze, pop, or pick at pimples to avoid scarring","Use oil-free, non-comedogenic sunscreen and cosmetics",Change pillowcases frequently
Urinary tract infection,Drink plenty of water to flush bacteria from the urinary tract,Wipe from front to back after urination,Urinate promptly after intercourse,Complete full prescribed antibiotic course
Psoriasis,Apply rich moisturizers immediately after bathing,"Get moderate, safe sunlight exposure","Avoid known skin injuries, stress, and smoking",Consult a dermatologist for targeted systemic/biologic therapy
Impetigo,Gently wash affected areas with antibacterial soap and warm water,Cover sores loosely with gauze to prevent scratching and spread,"Wash hands frequently and do not share towels, sheets, or clothing",Keep child home until 24-48 hours after starting antibiotics
