Disease,Medication
Fungal infection,"[""Antifungal creams (Clotrimazole, Terbinafine)"", ""Oral antifungals (Fluconazole)"", ""Topical powder""]"
Allergy,"[""Antihistamines (Cetirizine, Loratadine)"", ""Nasal corticosteroid sprays"", ""Decongestants""]"
GERD,"[""Proton Pump Inhibitors (Omeprazole, Pantoprazole)"", ""H2 Blockers (Famotidine)"", ""Antacids""]"
Chronic cholestasis,"[""Ursodeoxycholic acid (UDCA)"", ""Fat-soluble vitamin supplements (A, D, E, K)"", ""Antipruritic agents""]"
Drug Reaction,"[""Antihistamines"", ""Topical soothing lotions (Calamine)"", ""Oral corticosteroids if prescribed""]"
Peptic ulcer disease,"[""Antibiotics for H. pylori eradication"", ""Proton Pump Inhibitors"", ""Sucralfate mucosal protectants""]"
AIDS,"[""Antiretroviral therapy (Tenofovir, Emtricitabine, Dolutegravir)"", ""Prophylactic antibiotics""]"
Diabetes ,"[""Metformin"", ""SGLT2 inhibitors (Empagliflozin)"", ""GLP-1 receptor agonists"", ""Insulin therapy when indicated""]"
Gastroenteritis,"[""Oral Rehydration Salts (ORS)"", ""Antiemetics if prescribed (Ondansetron)"", ""Zinc supplements"", ""Probiotics""]"
Bronchial Asthma,"[""Inhaled Corticosteroids (Budesonide, Fluticasone)"", ""Short-acting Beta Agonists (Albuterol)"", ""Leukotriene receptor antagonists (Montelukast)""]"
Hypertension ,"[""ACE Inhibitors (Lisinopril)"", ""ARBs (Losartan)"", ""Calcium Channel Blockers (Amlodipine)"", ""Thiazide Diuretics""]"
Migraine,"[""Triptans (Sumatriptan, Rizatriptan)"", ""NSAIDs (Naproxen, Ibuprofen)"", ""CGRP antagonists or beta-blockers for prevention""]"
Cervical spondylosis,"[""NSAIDs (Ibuprofen, Celecoxib)"", ""Muscle relaxants (Cyclobenzaprine)"", ""Topical analgesic gels""]"
Paralysis (brain hemorrhage),"[""Emergency hospital neuro-critical care"", ""Blood pressure management agents"", ""Anticonvulsants / osmotic agents if indicated""]"
Jaundice,"[""Supportive therapy based on underlying cause"", ""Liver tonic formulations"", ""Fat-soluble vitamins""]"
