Disease,Diet,Workout,Category
Fungal infection,"[""Garlic and turmeric rich diet"", ""Probiotics and yogurt"", ""Reduce refined sugar intake"", ""Stay hydrated""]","[""Light yoga"", ""Avoid intense workouts that cause excessive sweating"", ""Wear breathable cotton clothing""]",Dermatology
Allergy,"[""Vitamin C rich citrus fruits"", ""Ginger and green tea"", ""Anti-inflammatory foods"", ""Omega-3 rich foods""]","[""Indoor light aerobics"", ""Gentle stretching"", ""Avoid strenuous outdoor running on high pollen days""]",Immunology
GERD,"[""Oatmeal, non-citrus fruits, lean poultry"", ""Ginger tea"", ""Alkaline foods like bananas"", ""Avoid caffeine and alcohol""]","[""Low-impact walking"", ""Gentle cycling"", ""Avoid heavy weightlifting or exercises that compress abdomen""]",Gastroenterology
Chronic cholestasis,"[""Low-fat balanced diet"", ""High-fiber vegetables"", ""Lean proteins"", ""Adequate hydration""]","[""Brisk walking"", ""Low-intensity aerobics"", ""Adequate rest between activities""]",Hepatology
Drug Reaction,"[""Plenty of water and electrolyte fluids"", ""Bland diet (BRAT diet)"", ""Fresh fruits"", ""Avoid processed foods""]","[""Rest and avoid vigorous exertion"", ""Light walking when recovered"", ""Avoid heat exposure""]",Allergy & Clinical Immunology
Peptic ulcer disease,"[""Probiotic foods like kefir and yogurt"", ""High fiber foods like apples and carrots"", ""Cabbage juice and leafy greens"", ""Avoid fried and acidic foods""]","[""Mild walking"", ""Stress-reducing meditation and deep breathing"", ""Gentle yoga poses""]",Gastroenterology
AIDS,"[""High-protein nutrient-dense diet"", ""Clean thoroughly cooked meals"", ""Vitamin and mineral supplements"", ""Safe treated drinking water""]","[""Moderate resistance training to prevent muscle wasting"", ""Low-impact cardio"", ""Gentle stretching""]",Infectious Disease
Diabetes ,"[""Low glycemic index foods"", ""Whole grains, legumes, green leafy vegetables"", ""Lean proteins"", ""Avoid sugary sodas and sweets""]","[""30 minutes daily brisk walking"", ""Moderate resistance training twice weekly"", ""Swimming or cycling""]",Endocrinology
Gastroenteritis,"[""Bananas, rice, applesauce, toast (BRAT diet)"", ""Clear broths and coconut water"", ""Electrolyte fluids"", ""Avoid dairy and fatty foods""]","[""Complete physical rest until fully rehydrated"", ""Gentle short walks once recovered""]",Gastroenterology
Bronchial Asthma,"[""Foods rich in Vitamin D and Magnesium"", ""Omega-3 fatty acids"", ""Fresh berries and spinach"", ""Avoid sulfites in dried fruits and wine""]","[""Swimming in warm humid environments"", ""Indoor walking"", ""Pranayama and diaphragmatic breathing exercises""]",Pulmonology
Hypertension ,"[""DASH Diet (Dietary Approaches to Stop Hypertension)"", ""Potassium-rich foods (bananas, sweet potatoes)"", ""Berries, beetroot juice, garlic"", ""Low sodium foods""]","[""Aerobic exercise 150 mins/week (brisk walking, jogging)"", ""Light swimming"", ""Yoga and mindfulness meditation""]",Cardiology
Migraine,"[""Magnesium-rich leafy greens, pumpkin seeds"", ""Ginger tea"", ""Stay hydrated"", ""Avoid aged cheeses, chocolate, MSG, and artificial sweeteners""]","[""Moderate steady walking"", ""Gentle neck and shoulder stretching"", ""Relaxation yoga during headache-free days""]",Neurology
Cervical spondylosis,"[""Calcium and Vitamin D rich foods"", ""Turmeric and anti-inflammatory foods"", ""Bone broth and collagen sources"", ""Adequate hydration""]","[""Cervical isometric strengthening exercises"", ""Gentle neck rotations and chin tucks"", ""Low-impact swimming""]",Orthopedics & Rheumatology
Paralysis (brain hemorrhage),"[""Doctor-directed dysphagia nutrition"", ""Low-sodium pureed nutrient-rich meals"", ""Adequate fluid management""]","[""Supervised post-stroke physical rehabilitation"", ""Occupational therapy"", ""Passive range-of-motion limb exercises""]",Emergency Neurology / Stroke Care
Jaundice,"[""Sugarcane juice, radishes, papaya"", ""High-carbohydrate easily digestible foods"", ""Barley water and coconut water"", ""Avoid fats and alcohol""]","[""Strict bed rest during acute phase"", ""Gentle walking after bilirubin normalizes""]",Hepatology
Malaria,"[""High calorie fluid diet"", ""Fresh orange and lemon juice"", ""Steamed vegetables and lentils"", ""Electrolyte fluids""]","[""Complete rest during fever episodes"", ""Resume gentle movement only after parasitic clearance""]",Infectious Disease
Chicken pox,"[""Cool soft foods, soups, smoothies"", ""Hydrating fresh fruits"", ""Avoid salty, spicy, or acidic foods that irritate mouth sores""]","[""Rest at home in a cool room"", ""Avoid exertion until skin lesions are fully scabbed""]",Pediatrics & Infectious Disease
Dengue,"[""Papaya leaf extract / kiwi"", ""Pomegranate juice and coconut water"", ""High protein lentil soups"", ""Abundant fluids""]","[""Absolute bed rest during acute febrile and critical phases"", ""Gradual recovery over 2-3 weeks""]",Infectious Disease
Typhoid,"[""High-calorie soft bland diet (rice porridge, boiled potatoes)"", ""Bananas and applesauce"", ""Clear broths"", ""Avoid spicy, fibrous, or raw foods""]","[""Complete rest until blood cultures are negative and fever resolves completely""]",Infectious Disease
hepatitis A,"[""High-carbohydrate easily digestible diet"", ""Fruit juices and vegetable broths"", ""Low fat, high lean protein"", ""Plenty of clean water""]","[""Adequate bed rest during acute jaundice phase""]",Hepatology & Infectious Disease
Hepatitis B,"[""Antioxidant-rich Mediterranean diet"", ""Whole grains, berries, and cruciferous vegetables"", ""Lean proteins"", ""Avoid raw shellfish and alcohol""]","[""Moderate aerobic exercises like walking or swimming 30 mins/day""]",Hepatology
Hepatitis C,"[""Liver-healthy plant-based diet"", ""Green tea and antioxidant foods"", ""Low sodium to prevent fluid retention""]","[""Regular light to moderate cardiovascular workouts""]",Hepatology
Hepatitis D,"[""High protein, easily digestible balanced diet"", ""Fresh organic vegetables and fruits""]","[""Gentle walking, avoid heavy exhaustion""]",Hepatology
Hepatitis E,"[""Light carbohydrate-rich diet"", ""Fresh juices, coconut water, boiled vegetables""]","[""Bed rest during the acute phase""]",Hepatology
Alcoholic hepatitis,"[""High calorie, high protein nutrition"", ""Sodium restricted (< 2g/day) to manage fluid swelling"", ""Frequent small nutrient-dense meals""]","[""Mild physical therapy and restorative walking as tolerated""]",Hepatology & Addiction Medicine
Tuberculosis,"[""High calorie, high protein diet (eggs, milk, legumes)"", ""Vitamin A, C, E, and Zinc supplements"", ""Frequent nutritious meals""]","[""Deep breathing exercises"", ""Gentle walks once sputum conversion occurs""]",Pulmonology & Infectious Disease
Common Cold,"[""Warm chicken soup or vegetable broth"", ""Hot herbal tea with honey and lemon"", ""Citrus fruits"", ""Ginger and garlic""]","[""Rest until fever and body aches subside; light stretching only""]",Primary Care / ENT
Pneumonia,"[""Protein-rich soups and broths"", ""Plenty of warm fluids"", ""Foods rich in vitamins C and A""]","[""Incentive spirometry and deep diaphragmatic breathing"", ""Gentle walking when afebrile""]",Pulmonology
Dimorphic hemmorhoids(piles),"[""High-fiber diet (beans, whole grains, broccoli, berries)"", ""Drink 8-10 glasses of water daily"", ""Prunes and flaxseeds""]","[""Regular walking to promote peristalsis"", ""Pelvic floor Kegel exercises"", ""Avoid heavy squats and deadlifts""]",Proctology & Colorectal Surgery
Heart attack,"[""Strict low-sodium, heart-healthy Mediterranean diet"", ""Zero trans-fats"", ""Omega-3 rich fish and olive oil""]","[""Supervised phase II cardiac rehabilitation only""]",Emergency Cardiology
Varicose veins,"[""High-fiber, low-sodium foods"", ""Flavonoid-rich foods (berries, citrus, bell peppers)"", ""Adequate water intake""]","[""Calf raises and ankle pumps"", ""Low-impact walking and swimming"", ""Bicycling""]",Vascular Surgery
Hypothyroidism,"[""Selenium and zinc rich foods (Brazil nuts, pumpkin seeds)"", ""Iodized salt in moderation"", ""Whole vegetables and lean proteins"", ""Limit raw goitrogens (raw cabbage/broccoli)""]","[""Aerobic exercise 30 mins 4x/week"", ""Strength training to improve metabolic rate"", ""Yoga for vitality""]",Endocrinology
Hyperthyroidism,"[""Low-iodine diet if recommended"", ""Calcium and Vitamin D to protect bone density"", ""Cruciferous vegetables (cabbage, broccoli)"", ""Avoid caffeine and energy drinks""]","[""Low-impact gentle walking"", ""Restorative yoga and meditation"", ""Avoid high-intensity exhaustive workouts""]",Endocrinology
Hypoglycemia,"[""Complex carbohydrates with protein"", ""Small, frequent meals every 3-4 hours"", ""Nuts, whole grain toast with peanut butter"", ""Avoid isolated refined sugars""]","[""Check blood sugar before exercising"", ""Carry fast-acting carbs during workout"", ""Avoid workouts during peak insulin activity""]",Endocrinology / Emergency Medicine
Osteoarthritis,"[""Anti-inflammatory Mediterranean diet"", ""Omega-3 rich fatty fish"", ""Berries, cherries, and olive oil"", ""Glucosamine / Chondroitin sources""]","[""Swimming and water aerobics"", ""Stationary cycling"", ""Quadriceps and hamstring strengthening""]",Rheumatology & Orthopedics
Arthritis,"[""Turmeric with black pepper (Curcumin)"", ""Ginger, walnuts, flaxseeds"", ""Leafy green vegetables"", ""Avoid ultra-processed foods""]","[""Range-of-motion stretching"", ""Tai Chi and gentle yoga"", ""Warm-water hydrotherapy""]",Rheumatology
(vertigo) Paroymsal  Positional Vertigo,"[""Low sodium diet to maintain inner ear fluid balance"", ""Adequate hydration"", ""Avoid excess caffeine and alcohol""]","[""Brandt-Daroff home exercises"", ""Balance and vestibular rehabilitation therapy""]",Neurology & ENT
Acne,"[""Low-glycemic index foods"", ""Zinc and Vitamin A rich foods"", ""Green tea"", ""Reduce skim milk and whey protein intake""]","[""Shower immediately after sweating"", ""Wear clean, loose-fitting athletic gear""]",Dermatology
Urinary tract infection,"[""Unsweetened cranberry juice / D-mannose"", ""Plenty of clean water (2.5 - 3 liters daily)"", ""Probiotic yogurt"", ""Avoid bladder irritants like coffee, alcohol, and spicy foods""]","[""Gentle walking; avoid intense pelvic strain or swimming until infection clears""]",Urology / Nephrology
Psoriasis,"[""Anti-inflammatory diet rich in Omega-3 fatty acids"", ""Turmeric, green leafy vegetables"", ""Gluten-free trial if sensitive"", ""Avoid alcohol and red meat""]","[""Regular low-impact exercise like swimming (rinse chlorine afterwards) and walking"", ""Mindfulness stress-reduction""]",Dermatology
Impetigo,"[""Nutrient-rich balanced diet"", ""Fresh fruits and protein for tissue healing"", ""Plenty of fluids""]","[""Rest at home and avoid contact sports until lesions are healed""]",Pediatric Dermatology / Infectious Disease
