Disease,Description
Fungal infection,"Fungal infection is a skin condition caused by a fungus. Common symptoms include itchy, scaly, or reddish skin patches."
Allergy,"An allergic reaction occurs when the immune system overreacts to a harmless substance such as pollen, dust, or pet dander."
GERD,Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the tube connecting your mouth and stomach.
Chronic cholestasis,Chronic cholestasis is a liver condition where bile flow from the liver is reduced or blocked over a sustained duration.
Drug Reaction,"An adverse drug reaction is an unwanted or unexpected effect caused by taking a medication, supplement, or prescription drug."
Peptic ulcer disease,Peptic ulcers are open sores that develop on the inside lining of your stomach and the upper portion of your small intestine.
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV)."
Diabetes ,Diabetes mellitus is a metabolic disease characterized by chronic high blood glucose levels due to insulin deficiency or resistance.
Gastroenteritis,"Gastroenteritis is an inflammation of the lining of the intestines caused by a virus, bacteria, or parasites (stomach flu)."
Bronchial Asthma,"Asthma is a chronic condition in which your airways narrow and swell and may produce extra mucus, causing difficulty breathing."
Hypertension ,Hypertension (high blood pressure) is a common condition where the long-term force of the blood against artery walls is elevated.
Migraine,"A migraine is a neurological condition that causes severe throbbing pain or a pulsing sensation, usually on one side of the head, often with nausea and light sensitivity."
Cervical spondylosis,"Cervical spondylosis is age-related wear and tear affecting the spinal disks in your neck, leading to stiffness and radiating pain."
Paralysis (brain hemorrhage),"Brain hemorrhage stroke occurs when a weakened vessel ruptures and bleeds into the brain, causing sudden paralysis or loss of function on one side."
Jaundice,"Jaundice is a yellow discoloration of the skin, mucous membranes, and sclera caused by elevated levels of bilirubin in the blood."
Malaria,"Malaria is a mosquito-borne infectious disease caused by Plasmodium parasites, characterized by cyclical high fevers, shaking chills, and sweating."
Chicken pox,"Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus, causing an itchy, blister-like rash all over the body."
Dengue,"Dengue is a viral infection transmitted by Aedes mosquitoes, causing sudden high fever, retro-orbital eye pain, severe bone pain, and risk of thrombocytopenia."
Typhoid,"Typhoid fever is a life-threatening systemic infection caused by Salmonella Typhi bacteria, spread through contaminated food and water."
hepatitis A,"Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus (HAV), usually transmitted via contaminated food or water."
Hepatitis B,Hepatitis B is a serious liver infection caused by HBV that can become chronic and lead to cirrhosis or liver cancer.
Hepatitis C,"Hepatitis C is a blood-borne viral infection causing chronic liver inflammation, now largely curable with direct-acting antivirals."
Hepatitis D,Hepatitis D (delta hepatitis) is a liver infection caused by HDV that only occurs in people infected with Hepatitis B.
Hepatitis E,"Hepatitis E is a waterborne liver disease caused by HEV, particularly hazardous in pregnant women."
Alcoholic hepatitis,"Alcoholic hepatitis is severe liver inflammation caused by heavy, prolonged alcohol consumption."
Tuberculosis,Tuberculosis (TB) is a serious bacterial disease caused by Mycobacterium tuberculosis that primarily affects the lungs.
Common Cold,"The common cold is a viral infection of your upper respiratory tract, most commonly caused by rhinoviruses."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid or purulent material."
Dimorphic hemmorhoids(piles),"Hemorrhoids are swollen veins in your anus and lower rectum, which can cause bleeding, pain, and itching."
Heart attack,A heart attack (myocardial infarction) is a medical emergency where blood flow to a part of the heart muscle is blocked.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually occur in the legs when vein valves become weakened or faulty."
Hypothyroidism,Hypothyroidism (underactive thyroid) is a condition where the thyroid gland does not produce enough crucial thyroid hormones.
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) is the overproduction of thyroid hormones, accelerating the body's metabolism."
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood glucose (sugar) levels (<70 mg/dL).
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, caused by the gradual breakdown of protective cartilage cushioning the ends of bones."
Arthritis,"Inflammatory arthritis involves swelling and tenderness of one or more joints, often autoimmune in origin (e.g., Rheumatoid Arthritis)."
(vertigo) Paroymsal  Positional Vertigo,Benign Paroxysmal Positional Vertigo (BPPV) is a disorder caused by displaced calcium carbonate crystals in the inner ear canal.
Acne,Acne is an inflammatory skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of the urinary system, commonly the bladder and urethra."
Psoriasis,"Psoriasis is a chronic autoimmune skin condition that speeds up the life cycle of skin cells, leading to thick, red, scaly plaques."
Impetigo,"Impetigo is a highly contagious bacterial skin infection, most common in children, causing honey-colored crusting sores."
